broader,name,rank,color,beg,beg_margin_of_error,end,end_margin_of_error
,Phanerozoic,Eon,#9AD9DD,538.8,0.2,0,
Phanerozoic,Cenozoic,Era,#F2F91D,66.0,,0,
Cenozoic,Neogene,Period,#FFE619,23.03,,2.58,
Neogene,Miocene,Epoch,#FFFF00,23.03,,5.333,
Miocene,Aquitanian,Age,#FFFF33,23.03,,20.44,
Miocene,Burdigalian,Age,#FFFF41,20.44,,15.98,
Miocene,Langhian,Age,#FFFF4D,15.98,,13.82,
Miocene,Messinian,Age,#FFFF73,7.246,,5.333,
Miocene,Serravallian,Age,#FFFF59,13.82,,11.63,
Miocene,Tortonian,Age,#FFFF66,11.63,,7.246,
Neogene,Pliocene,Epoch,#FFFF99,5.333,,2.58,
Pliocene,Piacenzian,Age,#FFFFBF,3.6,,2.58,
Pliocene,Zanclean,Age,#FFFFB3,5.333,,3.6,
Cenozoic,Paleogene,Period,#FD9A52,66.0,,23.03,
Paleogene,Eocene,Epoch,#FDB46C,56.0,,33.9,
Eocene,Bartonian,Age,#FDC091,41.2,,37.71,
Eocene,Lutetian,Age,#FDB482,47.8,,41.2,
Eocene,Priabonian,Age,#FDCDA1,37.71,,33.9,
Eocene,Ypresian,Age,#FCA773,56.0,,47.8,
Paleogene,Oligocene,Epoch,#FEC07A,33.9,,23.03,
Oligocene,Chattian,Age,#FEE6AA,27.82,,23.03,
Oligocene,Rupelian,Age,#FED99A,33.9,,27.82,
Paleogene,Paleocene,Epoch,#FDA75F,66.0,,56.0,
Paleocene,Danian,Age,#FDB462,66.0,,61.6,
Paleocene,Selandian,Age,#FEBF65,61.6,,59.2,
Paleocene,Thanetian,Age,#FDBF6F,59.2,,56.0,
Cenozoic,Quaternary,Period,#F9F97F,2.58,,0,
Quaternary,Holocene,Epoch,#FEEBD2,0.0117,,0,
Holocene,Greenlandian,Age,#FEECDB,0.0117,,0.0082,
Holocene,Meghalayan,Age,#FDEDEC,0.0042,,0,
Holocene,Northgrippian,Age,#FDECE4,0.0082,,0.0042,
Quaternary,Pleistocene,Epoch,#FFEFAF,2.58,,0.0117,
Pleistocene,Calabrian,Age,#FFF2BA,1.8,,0.774,
Pleistocene,Chibanian,Age,#FFF2C7,0.774,,0.129,
Pleistocene,Gelasian,Age,#FFEDB3,2.58,,1.8,
Pleistocene,Upper Pleistocene,Age,#FFF2D3,0.129,,0.0117,
Phanerozoic,Mesozoic,Era,#67C5CA,251.902,0.024,66.0,
Mesozoic,Cretaceous,Period,#7FC64E,145.0,,66.0,
Cretaceous,Lower Cretaceous,Epoch,#8CCD57,145.0,,100.5,
Lower Cretaceous,Albian,Age,#CCEA97,113.0,,100.5,
Lower Cretaceous,Aptian,Age,#BFE48A,121.4,,113.0,
Lower Cretaceous,Barremian,Age,#B3DF7F,125.77,,121.4,
Lower Cretaceous,Berriasian,Age,#8CCD60,145.0,,139.8,
Lower Cretaceous,Hauterivian,Age,#A6D975,132.6,,125.77,
Lower Cretaceous,Valanginian,Age,#99D36A,132.6,,139.8,
Cretaceous,Upper Cretaceous,Epoch,#A6D84A,100.5,,66.0,
Upper Cretaceous,Campanian,Age,#E6F47F,83.6,0.2,72.1,0.2
Upper Cretaceous,Cenomanian,Age,#B3DE53,100.5,,93.9,
Upper Cretaceous,Coniacian,Age,#CCE968,89.8,0.3,86.3,0.5
Upper Cretaceous,Maastrichtian,Age,#F2FA8C,72.1,0.2,66.0,
Upper Cretaceous,Santonian,Age,#D9EF74,86.3,0.5,83.6,0.2
Upper Cretaceous,Turonian,Age,#BFE35D,93.9,,89.8,0.3
Mesozoic,Jurassic,Period,#34B2C9,201.4,0.2,145.0,
Jurassic,Lower Jurassic,Epoch,#42AED0,201.4,0.2,174.7,0.8
Lower Jurassic,Hettangian,Age,#4EB3D3,201.4,0.2,199.5,0.3
Lower Jurassic,Pliensbachian,Age,#80C5DD,192.9,0.3,184.2,0.3
Lower Jurassic,Sinemurian,Age,#67BCD8,199.5,0.3,192.9,0.3
Lower Jurassic,Toarcian,Age,#99CEE3,184.2,0.3,174.7,0.8
Jurassic,Middle Jurassic,Epoch,#80CFD8,174.7,0.8,161.5,1.0
Middle Jurassic,Aalenian,Age,#9AD9DD,174.7,0.8,170.9,0.8
Middle Jurassic,Bajocian,Age,#A6DDE0,170.9,0.8,168.2,1.2
Middle Jurassic,Bathonian,Age,#B3E2E3,168.2,1.2,165.3,1.1
Middle Jurassic,Callovian,Age,#BFE7E5,165.3,1.1,161.5,1.0
Jurassic,Upper Jurassic,Epoch,#B3E3EE,161.5,1.0,145,
Upper Jurassic,Kimmeridgian,Age,#CCECF4,154.8,0.8,149.2,0.7
Upper Jurassic,Oxfordian,Age,#BFE7F1,161.5,1.0,154.8,0.8
Upper Jurassic,Tithonian,Age,#D9F1F7,149.2,0.7,145,
Mesozoic,Triassic,Period,#812B92,251.902,0.024,201.4,0.2
Triassic,Lower Triassic,Epoch,#983999,251.902,0.024,247.2,
Lower Triassic,Induan,Age,#A4469F,251.902,0.024,251.2,
Lower Triassic,Olenekian,Age,#B051A5,247.2,,251.2,
Triassic,Middle Triassic,Epoch,#B168B1,247.2,,237,
Middle Triassic,Anisian,Age,#BC75B7,247.2,,242,
Middle Triassic,Ladinian,Age,#C983BF,242,,237,
Triassic,Upper Triassic,Epoch,#BD8CC3,237,,201.4,0.2
Upper Triassic,Carnian,Age,#C99BCB,237,,227,
Upper Triassic,Norian,Age,#D6AAD3,227,,208.5,
Upper Triassic,Rhaetian,Age,#E3B9DB,208.5,,201.4,0.2
Phanerozoic,Paleozoic,Era,#99C08D,538.8,0.024,251.902,0.2
